Age(eg.21),Gender,Occupation,What is your personal monthly income?  ,Where do you reside? ,Do you use UPI for transactions?  ,What are your reasons for not using UPI? (Select all that apply)  ,How often do you use UPI for transactions? ,Which UPI app have you been primarily using for the past 6 months?  ,"Do you use any other UPI apps for transactions besides your primary UPI app? If yes, please specify  ","How satisfied are you with the following features of your UPI app?   [Transaction Speed	]","How satisfied are you with the following features of your UPI app?   [Bill Payment	]","How satisfied are you with the following features of your UPI app?   [Payment Reminders	]","How satisfied are you with the following features of your UPI app?   [User Interface	]",How satisfied are you with the following features of your UPI app?   [Security Features],How satisfied are you with the following features of your UPI app?   [Coverage (Merchant & Bank Support)],What types of transactions do you use your UPI app for? (Select frequency for each type) [Peer-to-peer transfers],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Bill payments(e.g., electricity, water, gas, broadband)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Mobile recharges and DTH payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Online shopping],"What types of transactions do you use your UPI app for? (Select frequency for each type) [Ticket bookings (movies, flights, etc.)]","What types of transactions do you use your UPI app for? (Select frequency for each type) [Government-related payments (taxes, fines, etc.)]",What types of transactions do you use your UPI app for? (Select frequency for each type) [Offline merchant payments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Loan or EMI Repayments],What types of transactions do you use your UPI app for? (Select frequency for each type) [Donations],What type of rewards or cashback offers do you find most attractive?  (Multiple choices),Which payment method do you use the most besides your UPI app? ,What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction speed],What factors influence your choice of UPI app? (Rate the importance of each factor) [Security & Fraud Protection],What factors influence your choice of UPI app? (Rate the importance of each factor) [Cashback/Rewards],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of use],What factors influence your choice of UPI app? (Rate the importance of each factor) [Transaction limits (maximum transaction amount allowed)],What factors influence your choice of UPI app? (Rate the importance of each factor) [24/7 Customer Support Availability],"What factors influence your choice of UPI app? (Rate the importance of each factor) [Payment Reminder Feature (Bills, Subscriptions, EMI, Rent, etc.)]",What factors influence your choice of UPI app? (Rate the importance of each factor) [User interface & experience],What factors influence your choice of UPI app? (Rate the importance of each factor) [Ease of linking bank accounts],Have you ever hesitated to make a large transaction using UPI due to security concerns?  ,What challenges do you face while using UPI apps?    ,"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Dependency on cash/cards	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Frequency of digital transactions],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Ability to track expenses	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Bill Payments & Subscription Management],"How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Savings habits	]",How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Impulse buying behavior],How has your UPI app impacted your financial habits? (Rate the impact on each aspect)   [Payment convenience at small/local merchant],"Do you use your UPI app for business-related transactions (e.g., receiving payments from clients)? ",How often do you use UPI apps for payments at small/local merchants? ,How satisfied are you with your primary UPI app overall ? ,Would you recommend your UPI app to others ?
40,Male,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,Monthly,Daily,Rarely,Monthly,Rarely,Rarely,Rarely,Rarely,Never,Cashbacks on transaction amounts,Credit card,Very Important,Important,Not Important,Very Important,Important,Moderately Important,Slightly Important,Moderately Important,Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Significantly  Declined,Significantly Increased,Moderately Declined,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
23,Male,Freelancer/Gig Worker,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe;Amazon Pay;BHIM UPI,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Daily,Monthly,Monthly,Weekly,Weekly,Rarely,Daily,Rarely,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,No,Other,No Change,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,Yes,Frequently,5,10
22,Male,Freelancer/Gig Worker,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Monthly,Monthly,Monthly,Weekly,Monthly,Rarely,Cashbacks on transaction amounts,Cash,Moderately Important,Important,Moderately Important,Important,Moderately Important,Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,No Change,Moderately Increased,Moderately Increased,Significantly  Declined,No Change,Yes,Frequently,4,8
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Daily,Monthly,Monthly,Weekly,Monthly,Never,Weekly,Never,Monthly,Cashbacks on transaction amounts;Exclusive offers on financial products,Net banking,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Declined,Significantly Increased,No Change,Significantly  Declined,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
22,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe;Amazon Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Monthly,Monthly,Monthly,Weekly,Monthly,Rarely,Rarely,Never,Rarely,Cashbacks on transaction amounts,Cash,Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Yes,Technical Glitches,Moderately Declined,Moderately Increased,Moderately Declined,Moderately Increased,No Change,No Change,No Change,Yes,Occasionally,4,8
25,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe;Paytm,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Daily,Monthly,Monthly,Monthly,Monthly,Daily,Weekly,Weekly,Monthly,Cashbacks on transaction amounts;Referral bonuses for inviting friends,Net banking,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Yes,Technical Glitches;Security Concerns,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Moderately Increased,Significantly Increased,Yes,Frequently,5,9
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Debit card,Moderately Important,Very Important,Moderately Important,Important,Very Important,Very Important,Moderately Important,Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Significantly Increased,Significantly  Declined,Significantly  Declined,Significantly  Declined,Significantly Increased,No Change,Yes,Frequently,4,8
24,Male,Salaried Professional,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Weekly,Monthly,Monthly,Never,Never,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,No Change,Moderately Declined,Moderately Increased,No Change,Yes,Occasionally,2,8
23,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,No,Frequently,5,10
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,PhonePe;BHIM UPI,Neutral,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Weekly,Daily,Rarely,Daily,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,No Change,Significantly Increased,Significantly  Declined,Moderately Increased,Significantly  Declined,Significantly Increased,Significantly Increased,No,Frequently,5,10
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Never,Monthly,Rarely,Rarely,Never,Rarely,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Very Important,Important,Very Important,Moderately Important,Moderately Important,Very Important,No,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,No Change,No Change,Moderately Declined,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
28,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,PhonePe,Google Pay,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Weekly,Rarely,Monthly,Monthly,Monthly,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Moderately Declined,Significantly Increased,Moderately Increased,Significantly Increased,No Change,Moderately Increased,Significantly Increased,No,Frequently,5,9
39,Female,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Weekly,Google Pay,"No, I only use my primary UPI app",Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Rarely,Rarely,Monthly,Monthly,Monthly,Monthly,Never,Monthly,Never,Cashbacks on transaction amounts,Debit card,Moderately Important,Very Important,Not Important,Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,No,Transaction Failures,Moderately Declined,Moderately Increased,Moderately Declined,No Change,No Change,Moderately Increased,Moderately Increased,No,Occasionally,4,8
41,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Cashbacks on transaction amounts,Net banking,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Other,Significantly  Declined,Significantly  Declined,Significantly  Declined,Moderately Declined,No Change,Moderately Declined,Significantly  Declined,Yes,Frequently,5,10
22,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,Never,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Slightly Important,Very Important,Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,Transaction Failures;Security Concerns,Significantly  Declined,Significantly Increased,Significantly Increased,Moderately Declined,Significantly  Declined,Significantly Increased,Significantly Increased,No,Rarely,4,10
22,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Cashbacks on transaction amounts,Cash,Slightly Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Important,Very Important,Very Important,Yes,Security Concerns,No Change,No Change,Significantly Increased,Moderately Declined,Significantly  Declined,Significantly  Declined,Significantly  Declined,No,Rarely,4,10
23,Male,Student,"Below ₹20,000",Rural,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm;Amazon Pay;BHIM UPI,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Daily,Daily,Daily,Daily,Weekly,Weekly,Daily,Daily,Weekly,Referral bonuses for inviting friends;Special discounts on partner merchant stores,Credit card,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,No,Technical Glitches;Transaction Failures;Security Concerns,Significantly  Declined,Moderately Declined,Significantly  Declined,No Change,Moderately Declined,No Change,Significantly  Declined,Yes,Frequently,4,6
19,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Other,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,Daily,Daily,Monthly,Weekly,Monthly,Daily,Monthly,Weekly,Monthly,Discounts on bills and recharges;Exclusive offers on financial products,Cash,Very Important,Important,Very Important,Important,Moderately Important,Important,Slightly Important,Moderately Important,Important,Yes,Security Concerns,Significantly  Declined,Significantly  Declined,Moderately Declined,Significantly  Declined,Moderately Declined,Significantly Increased,Significantly Increased,No,Occasionally,2,3
19,Male,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm,Very Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Neutral,Rarely,Monthly,Monthly,Never,Never,Never,Never,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,No Change,Moderately Declined,No Change,Moderately Increased,No Change,Moderately Declined,Moderately Increased,No,Occasionally,4,9
22,Male,Student,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Never,Never,Monthly,Monthly,Rarely,Never,Rarely,Never,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Very Important,Very Important,Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Increased,Moderately Declined,Moderately Declined,Significantly  Declined,Significantly  Declined,Significantly Increased,No,Frequently,5,10
41,Male,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,Google Pay,Amazon Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Monthly,Monthly,Monthly,Daily,Monthly,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,No,Technical Glitches,Significantly  Declined,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Frequently,5,10
26,Female,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Daily,Monthly,Monthly,Rarely,Monthly,Rarely,Never,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends;Special discounts on partner merchant stores,Debit card,Very Important,Moderately Important,Important,Very Important,Very Important,Moderately Important,Slightly Important,Moderately Important,Important,Yes,Technical Glitches;Transaction Failures,Moderately Increased,Moderately Increased,Moderately Increased,Moderately Increased,Significantly  Declined,Moderately Declined,No Change,Yes,Frequently,4,9
22,Male,Business Owner,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Paytm,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Daily,Monthly,Monthly,Monthly,Rarely,Rarely,Daily,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges;Special discounts on partner merchant stores,Cash,Important,Important,Moderately Important,Important,Very Important,Very Important,Very Important,Important,Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Increased,Moderately Increased,Significantly Increased,Yes,Frequently,4,7
21,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Daily,Monthly,Weekly,Monthly,Weekly,Cashbacks on transaction amounts;Discounts on bills and recharges,Credit card,Not Important,Slightly Important,Moderately Important,Important,Very Important,Important,Moderately Important,Slightly Important,Not Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Moderately Declined,No Change,Moderately Increased,Significantly Increased,Moderately Increased,No Change,Yes,Occasionally,1,5
43,Male,Business Owner,"Above ₹1,00,000",Urban,Yes,,Daily,Google Pay,PhonePe;Paytm;Amazon Pay,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Never,Rarely,Never,Cashbacks on transaction amounts,Net banking,Important,Important,Not Important,Moderately Important,Slightly Important,Important,Not Important,Very Important,Important,Yes,Technical Glitches;Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Increased,No Change,Moderately Increased,No Change,Significantly Increased,Yes,Frequently,4,5
22,Male,Student,"Above ₹1,00,000",Urban,Yes,,Daily,PhonePe,PhonePe;Amazon Pay,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Weekly,Monthly,Monthly,Weekly,Monthly,Weekly,Weekly,Rarely,Rarely,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Moderately Declined,Moderately Increased,No Change,No Change,No Change,No Change,Moderately Increased,Yes,Occasionally,4,8
27,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Other,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Monthly,Rarely,Rarely,Rarely,Never,Monthly,Never,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Moderately Declined,No Change,Significantly Increased,No,Frequently,5,10
24,Male,Other,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Google Pay;PhonePe;Paytm,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Never,Monthly,Monthly,Daily,Daily,Rarely,Rarely,Monthly,Never,Cashbacks on transaction amounts;Discounts on bills and recharges;Referral bonuses for inviting friends,Debit card,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures;Lack of Awareness,Significantly Increased,Moderately Increased,Significantly Increased,Significantly Increased,No Change,Significantly Increased,Significantly Increased,Yes,Frequently,5,10
68,Male,Retired,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Monthly,Monthly,Never,Never,Never,Rarely,Daily,Never,Monthly,Cashbacks on transaction amounts,Credit card,Very Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns,Significantly  Declined,Significantly Increased,No Change,No Change,No Change,Significantly Increased,Significantly Increased,Yes,Occasionally,5,10
24,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Other,"No, I only use my primary UPI app",Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Monthly,Monthly,Rarely,Daily,Monthly,Rarely,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Technical Glitches;Transaction Failures;Security Concerns;Lack of Awareness,Moderately Increased,Moderately Increased,Significantly Increased,Moderately Increased,Moderately Declined,Moderately Declined,Significantly Increased,Yes,Frequently,5,10
41,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Cashbacks on transaction amounts,Cash,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Security Concerns,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Moderately Declined,Yes,Frequently,5,5
22,Male,Business Owner,"Below ₹20,000",Semi urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Weekly,Daily,Monthly,Weekly,Rarely,Rarely,Daily,Rarely,Never,Cashbacks on transaction amounts;Discounts on bills and recharges,Cash,Important,Important,Very Important,Moderately Important,Important,Important,Important,Very Important,Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Increased,Significantly Increased,Moderately Increased,Significantly  Declined,Significantly Increased,Moderately Declined,Yes,Frequently,4,6
24,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Weekly,Google Pay,Google Pay,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Dissatisfied,Weekly,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Cashbacks on transaction amounts;Na,Debit card,Moderately Important,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Not Important,Slightly Important,Yes,Security Concerns,No Change,Moderately Declined,Moderately Declined,No Change,Moderately Declined,No Change,Moderately Declined,No,Occasionally,2,2
22,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Daily,Monthly,Rarely,Rarely,Rarely,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts;Special discounts on partner merchant stores,Net banking,Very Important,Very Important,Important,Very Important,Important,Very Important,Moderately Important,Very Important,Very Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Significantly Increased,Significantly Increased,No Change,No Change,Moderately Increased,Significantly Increased,No,Frequently,4,10
21,Female,Student,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Google Pay,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Weekly,Monthly,Monthly,Monthly,Rarely,Never,Never,Never,Rarely,Cashbacks on transaction amounts;Discounts on bills and recharges,Debit card,Important,Very Important,Slightly Important,Important,Important,Very Important,Moderately Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Significantly Increased,Moderately Declined,Significantly Increased,No Change,Moderately Increased,Significantly Increased,Yes,Frequently,4,9
46,Male,Salaried Professional,"₹20,000 - ₹50,000",Semi urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Weekly,Monthly,Monthly,Weekly,Rarely,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Debit card,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,No Change,Significantly Increased,Moderately Increased,No,Frequently,5,10
31,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Google Pay,PhonePe,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Monthly,Monthly,Monthly,Weekly,Weekly,Rarely,Rarely,Monthly,Rarely,Cashbacks on transaction amounts,Cash,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,No Change,Significantly Increased,Significantly Increased,No,Frequently,5,10
30,Male,Salaried Professional,"₹20,000 - ₹50,000",Urban,Yes,,Daily,Google Pay,"No, I only use my primary UPI app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Daily,Monthly,Monthly,Monthly,Rarely,Monthly,Daily,Monthly,Never,Special discounts on partner merchant stores,Debit card,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Security Concerns,Moderately Declined,Significantly Increased,No Change,Significantly Increased,No Change,Moderately Increased,Moderately Increased,Yes,Frequently,4,5
24,Female,Salaried Professional,"Above ₹1,00,000",Urban,Yes,,Daily,PhonePe,Google Pay,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Daily,Monthly,Monthly,Daily,Rarely,Monthly,Daily,Monthly,Monthly,Cashbacks on transaction amounts,Cash,Important,Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Transaction Failures,Significantly  Declined,Significantly Increased,Significantly Increased,Significantly Increased,Significantly  Declined,Significantly Increased,Significantly  Declined,Yes,Frequently,5,10
28,Female,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,PhonePe,Google Pay,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Dissatisfied,Daily,Monthly,Monthly,Weekly,Weekly,Monthly,Daily,Never,Rarely,Cashbacks on transaction amounts,Debit card,Important,Very Important,Moderately Important,Important,Very Important,Important,Important,Very Important,Very Important,No,Technical Glitches,Significantly  Declined,Significantly Increased,Moderately Increased,Moderately Increased,Moderately Declined,Significantly Increased,Significantly Increased,No,Frequently,4,9
29,Male,Business Owner,"Below ₹20,000",Urban,Yes,,Daily,Google Pay,Paytm,Very Dissatisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Very Dissatisfied,Rarely,Weekly,Monthly,Monthly,Monthly,Monthly,Rarely,Never,Monthly,Discounts on bills and recharges,Debit card,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,Lack of Awareness,No Change,No Change,No Change,No Change,No Change,No Change,No Change,Yes,Occasionally,5,6
21,Male,Salaried Professional,"₹50,000 - ₹1,00,000",Urban,Yes,,Daily,Amazon Pay.,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Daily,Weekly,Monthly,Monthly,Monthly,Monthly,Daily,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Very Important,Very Important,Moderately Important,Important,Very Important,Very Important,Very Important,Important,Important,No,Technical Glitches;Transaction Failures,Moderately Declined,Moderately Declined,Moderately Declined,Significantly  Declined,Significantly  Declined,Significantly Increased,Significantly Increased,Yes,Frequently,4,9
24.5,Male,Salaried Professional,"₹20,000 - ₹50,000",Rural,Yes,,Daily,Paytm,Google Pay,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Weekly,Rarely,Rarely,Rarely,Rarely,Rarely,Weekly,Rarely,Rarely,Cashbacks on transaction amounts,Cash,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Technical Glitches,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No,Frequently,4,9
